resource_name,raw_asset_file,raw_size_bytes,paired_resource_file
BTN_DynamiteDrag,23eb6a90f93444455a5c5c283cc0abe4,46848,
BTN_DynamiteDrag,e07f1d5ef178d43378683cd31bbb29e4,233300,
DailyGem_Idle,397d52d347fbc415b810caad8e82d298,2924,
DailyGem_Idle,428745e94b6094200b86d91375390bf6,616,
DailyGemx,428745e94b6094200b86d91375390bf6,616,
DrillCrusher,52c7f1859f4b1fc44ab204affc7e6da2,1524,
DrillCrusher,80c780ec2e4b042c4aa2fd8442b832ea,16928,
DrillCrusher,862bec9ba22c047a388c07dd5c44d11e,155844,
DrillCrusher,87ee20931d3844a1862f7dc520cb31eb,1621712,
DrillCrusher,97f11c691d6114d799a7580b41ec8965,1613804,
DrillCrusher,e3aea8e7041bd47c29950dff061f5008,155852,
DrillCrusher_Dig,91e7d9c3886507a4da9a863663c2453f,7564,
DrillCrusher_Idle,37068a1979eb5d041a9f3c42fca20f98,3068,
DrillCrusher_Move,c64e0ada6e5c0ee418d3e4285279aa7b,3972,
DrillCrusher_Siberia,80c780ec2e4b042c4aa2fd8442b832ea,16928,
DrillCrusher_Siberia,e3aea8e7041bd47c29950dff061f5008,155852,
DumpTruck,64fb295d19fd2484892b0563684e3173,138484,
DumpTruck,80c780ec2e4b042c4aa2fd8442b832ea,16928,
DumpTruck,87ee20931d3844a1862f7dc520cb31eb,1621712,
DumpTruck,97f11c691d6114d799a7580b41ec8965,1613804,
DumpTruck,ccc539ffc2f99de4599fba13d68e654f,600,
DumpTruck_Idle,5aef4bea442ea544c8caf24565f6064b,2784,
Dynamite_model,8d0c1cd4864824dc7972f5d68ce1b59f,41928,
DynamiteArrow,23eb6a90f93444455a5c5c283cc0abe4,46848,
DynamiteArrow,e07f1d5ef178d43378683cd31bbb29e4,233300,
DynamiteBehaviour,globalgamemanagers.assets,558184,
DynamiteButton,23eb6a90f93444455a5c5c283cc0abe4,46848,
DynamiteButton,e07f1d5ef178d43378683cd31bbb29e4,233300,
DynamiteController,globalgamemanagers.assets,558184,
DynamiteDimScreen,23eb6a90f93444455a5c5c283cc0abe4,46848,
DynamiteDimScreen,e07f1d5ef178d43378683cd31bbb29e4,233300,
DynamiteGroundMarker,b7d4e3c2a1f0567890abcdef12345678,58120,
DynamiteGroundMarker,globalgamemanagers.assets,558184,
DynamiteKit,f8cf698b9cdc5416eab1e5d2386f6af2,7440,
DynamiteManager,globalgamemanagers.assets,558184,
DynamitePack,f2bba316097094cfd8bb3e1b14082243,30348,
DynamiteUI,0bcdf98c4c76d42f9a65b320c3f63096,952,
DynamiteUI,23eb6a90f93444455a5c5c283cc0abe4,46848,
DynamiteUI,e07f1d5ef178d43378683cd31bbb29e4,233300,
DynamiteUI,globalgamemanagers.assets,558184,
DynamiteUI_Active,1523b9bea6fd347a48389d3cf4844469,3400,
DynamiteUI_Inactive,004d880c8c67f4bfbaa3105522b5aec4,2528,
DynamiteUIAnimator,23eb6a90f93444455a5c5c283cc0abe4,46848,
DynamiteUIAnimator,e07f1d5ef178d43378683cd31bbb29e4,233300,
DynamiteUIScale,f253e497b3b724e2892b65c6b5f50921,1180,
DynamiteUIScale_Close,cd303b84c674d4651b48dc3239cc44f0,2560,
DynamiteUIScale_Idle,baf9f0961330f494fb15339aaeb35050,2556,
DynamiteUIScale_Open,0edaa9ca6422042e88983919e4b4dff7,2820,
EquipmentProduct_DrillCrusher,87ee20931d3844a1862f7dc520cb31eb,1621712,
EquipmentProduct_DrillCrusher,97f11c691d6114d799a7580b41ec8965,1613804,
EquipmentProduct_DumpTruck,87ee20931d3844a1862f7dc520cb31eb,1621712,
EquipmentProduct_DumpTruck,97f11c691d6114d799a7580b41ec8965,1613804,
EquipmentProduct_HydraulicBreaker,87ee20931d3844a1862f7dc520cb31eb,1621712,
EquipmentProduct_HydraulicBreaker,97f11c691d6114d799a7580b41ec8965,1613804,
EquipmentProduct_JackHammer,87ee20931d3844a1862f7dc520cb31eb,1621712,
EquipmentProduct_JackHammer,97f11c691d6114d799a7580b41ec8965,1613804,
EquipmentProduct_RollerCrusher,87ee20931d3844a1862f7dc520cb31eb,1621712,
EquipmentProduct_RollerCrusher,97f11c691d6114d799a7580b41ec8965,1613804,
EquipmentProduct_WheelLoader,87ee20931d3844a1862f7dc520cb31eb,1621712,
EquipmentProduct_WheelLoader,97f11c691d6114d799a7580b41ec8965,1613804,
FX_UI_Dynamite,23eb6a90f93444455a5c5c283cc0abe4,46848,
FX_UI_Dynamite,e07f1d5ef178d43378683cd31bbb29e4,233300,
Gear,2464fb20a68994c209185b67ffbe243d,1167352,
Gear,50b0dbea54ca44804a7e4b061f986529,452604,
Gear,53f3004e7715c465599830d0d80d20ea,1165832,
Gear,74d494b9dc0b44f4f9dad9970d694dad,468368,
Gear,b61a6a0cbb9534b41aa80050e95320e1,1118996,
Gears,c06733cfb197a47c186408743b6ec828,430632,
Gema,c06733cfb197a47c186408743b6ec828,430632,
GemMo,b0300685d94ea41668395b4b14ff5192,119120,
HaulTruck,80c780ec2e4b042c4aa2fd8442b832ea,16928,
HaulTruck,83aaf43eecf3a4a0bbe2041c998005a8,154116,
HaulTruck,87ee20931d3844a1862f7dc520cb31eb,1621712,
HaulTruck,97f11c691d6114d799a7580b41ec8965,1613804,
HaulTruck,e85d9e3a43d714a76b8fbe6ef7cd3bdc,840,
HaulTruck_Body,83aaf43eecf3a4a0bbe2041c998005a8,154116,
HaulTruck_Body,87ee20931d3844a1862f7dc520cb31eb,1621712,
HaulTruck_Body,97f11c691d6114d799a7580b41ec8965,1613804,
HaulTruck_Body_Trunk,83aaf43eecf3a4a0bbe2041c998005a8,154116,
HaulTruck_Body_Trunk,87ee20931d3844a1862f7dc520cb31eb,1621712,
HaulTruck_Body_Trunk,97f11c691d6114d799a7580b41ec8965,1613804,
HaulTruck_Idle,ebfb8eab0b6304d1091f4f1ec2158c9e,2784,
HaulTruck_Move,743576624f99e47e9a60b84f330fc3d0,3888,
HaulTruck_Wheel_Back_L,83aaf43eecf3a4a0bbe2041c998005a8,154116,
HaulTruck_Wheel_Back_L,87ee20931d3844a1862f7dc520cb31eb,1621712,
HaulTruck_Wheel_Back_L,97f11c691d6114d799a7580b41ec8965,1613804,
HaulTruck_Wheel_Back_R,83aaf43eecf3a4a0bbe2041c998005a8,154116,
HaulTruck_Wheel_Back_R,87ee20931d3844a1862f7dc520cb31eb,1621712,
HaulTruck_Wheel_Back_R,97f11c691d6114d799a7580b41ec8965,1613804,
HaulTruck_Wheel_Front_L,83aaf43eecf3a4a0bbe2041c998005a8,154116,
HaulTruck_Wheel_Front_L,87ee20931d3844a1862f7dc520cb31eb,1621712,
HaulTruck_Wheel_Front_L,97f11c691d6114d799a7580b41ec8965,1613804,
HaulTruck_Wheel_Front_R,83aaf43eecf3a4a0bbe2041c998005a8,154116,
HaulTruck_Wheel_Front_R,87ee20931d3844a1862f7dc520cb31eb,1621712,
HaulTruck_Wheel_Front_R,97f11c691d6114d799a7580b41ec8965,1613804,
HitBox_JackHammer_Hit,f59ff738edbc6410db85f97c8a8b8f00,768,
HydraulicBreaker,1dad36adba23746cbbba31e9c98194ae,37428,
HydraulicBreaker,6b0ab93e950124f54a51b360e4bc3b41,151836,
HydraulicBreaker,732f6487a8c384d708683e106c9d3831,2260,
HydraulicBreaker,7a171612d947347879795ab4377af40e,974864,
HydraulicBreaker,80c780ec2e4b042c4aa2fd8442b832ea,16928,
HydraulicBreaker,87ee20931d3844a1862f7dc520cb31eb,1621712,
HydraulicBreaker,97f11c691d6114d799a7580b41ec8965,1613804,
HydraulicBreaker,a22c327635f4d4d048e1051c562cbc75,151844,
HydraulicBreaker_Aim,4b6addaa1e83b4bf5b8a28f0b36340c6,4036,
HydraulicBreaker_Aimed,84ad1b545e034485cb26e4384e6b2753,2848,
HydraulicBreaker_Asia,80c780ec2e4b042c4aa2fd8442b832ea,16928,
HydraulicBreaker_Asia,a22c327635f4d4d048e1051c562cbc75,151844,
HydraulicBreaker_Company_Idle,51acfb0bc12bd4b2d8ed94432c8e7edf,3540,
HydraulicBreaker_Company_Idle,e03c2b401d08e441db80f475ed4c5db2,664,
HydraulicBreaker_Companyx,e03c2b401d08e441db80f475ed4c5db2,664,
HydraulicBreaker_Dig,859f3340e405e4ee1b706c2d1fdbe25d,20712,
HydraulicBreaker_Idle,f7fcf3e16a24e4470806728c2ef30df0,2804,
Icn_10001,c468799309d044732b9d9380b8a91101,56180,
Icn_10001,dd028d6a42a88441eb282cc5553171a8,4936,
Icn_10002,2de507aae5d864e729f48586f71d40c4,4936,
Icn_10002,c468799309d044732b9d9380b8a91101,56180,
Icn_10003,45cbb3094915b4e21a0d8a645e683e28,5316,
Icn_10003,c468799309d044732b9d9380b8a91101,56180,
Icn_10101,7e8905cf4c39346a39acb925e281f46f,4936,
Icn_10101,c468799309d044732b9d9380b8a91101,56180,
Icn_10102,0092db1540ed34667b8c8c63ce16ee3b,4980,
Icn_10102,c468799309d044732b9d9380b8a91101,56180,
Icn_10103,c411f8421d03947d693e5975c573345b,5424,
Icn_10103,c468799309d044732b9d9380b8a91101,56180,
Icn_10104,b597c483360514e2daf6e280f5fd5182,5296,
Icn_10104,c468799309d044732b9d9380b8a91101,56180,
Icn_10105,a7df9c3ad29c9416d8d68d87950c468e,5340,
Icn_10105,c468799309d044732b9d9380b8a91101,56180,
Icn_10201,8287f74215cca4737b5af15869c4c141,5204,
Icn_10201,c468799309d044732b9d9380b8a91101,56180,
Icn_10202,bc6fd0bfb4c6e4655ac2012837159de0,5828,
Icn_10202,c468799309d044732b9d9380b8a91101,56180,
Icn_10203,979561748923c44e19229dfebc5d6a71,4904,
Icn_10203,c468799309d044732b9d9380b8a91101,56180,
Icn_10205,036f357c9b5b2480aa2d38d5675e06a5,5008,
Icn_10205,c468799309d044732b9d9380b8a91101,56180,
Icn_10206,b736e571f3bb14812ad625b856ca6e48,5212,
Icn_10206,c468799309d044732b9d9380b8a91101,56180,
Icn_10207,c468799309d044732b9d9380b8a91101,56180,
Icn_10207,fe286d03ea0a34d498877cc499f31a63,4936,
Icn_10301,6cf4e269d975c4c7aa0ac8a95cfb8f64,5040,
Icn_10301,c468799309d044732b9d9380b8a91101,56180,
Icn_10304,a9d5262be3bf84c278292d73825f30b5,4948,
Icn_10304,c468799309d044732b9d9380b8a91101,56180,
Icn_10305,af4b2bb9f4af64f11bd28a7c9774f928,5008,
Icn_10305,c468799309d044732b9d9380b8a91101,56180,
Icn_10306,c468799309d044732b9d9380b8a91101,56180,
Icn_10306,ef9abf523677b4adb8af7cd9dd0c3011,5156,
Icn_10307,a5daa88c3425b457d9767894972449bb,5236,
Icn_10307,c468799309d044732b9d9380b8a91101,56180,
Icn_10308,8eff63acb52df4a54b4397520096f40b,5008,
Icn_10308,c468799309d044732b9d9380b8a91101,56180,
Icn_20001,8375f19c2e2054961ab5c3e7fd4d80a8,6192,
Icn_20001,c468799309d044732b9d9380b8a91101,56180,
Icn_20002,0a2ce2411a18744079d4aa1a5572d79d,4980,
Icn_20002,c468799309d044732b9d9380b8a91101,56180,
Icn_20101,c468799309d044732b9d9380b8a91101,56180,
