resource_name,raw_asset_file,paired_resource_file
Icn_Gem,431bf445932274ee68ab951277734fab,
Icn_Gem,8fbb321fe74c2417b8872cf3af729a7d,
Icn_Gem,ab11440e9da13404aa71c709220a9de5,
Icn_Gem,c207eeb47acac4924bb1506dd0be5e0a,
Icn_Gem,f2bba316097094cfd8bb3e1b14082243,
Icn_Gear,101f5beaab7604ebb858a920131cf028,
Icn_Gear,431bf445932274ee68ab951277734fab,
Icn_Gear,8fbb321fe74c2417b8872cf3af729a7d,
Icn_Gear,b2dcbb5cb29aa48af91c478602b8289e,
Icn_Dynamite,1e6cd4ccded5f446f8f400395bcb2773,
Icn_Dynamite,431bf445932274ee68ab951277734fab,
Icn_Dynamite,f2bba316097094cfd8bb3e1b14082243,
Icn_ResearchPoint,431bf445932274ee68ab951277734fab,
Icn_ResearchPoint,f3b943ac8aa914a95a3aded12211f6af,
Icn_AdSkipTicket,431bf445932274ee68ab951277734fab,
Icn_AdSkipTicket,5b4bbe5789ea94aee820b1369be3bbd6,
TN_AD_Speed,32bc0c5d50a784539a971b71b4e2a49c,
TN_AD_Speed,884cd69ec29d54266bc39c690b5e8d80,
TN_AD_Speed,8fbb321fe74c2417b8872cf3af729a7d,
TN_AD_Magnet,32bc0c5d50a784539a971b71b4e2a49c,
TN_AD_Magnet,62d224e0fad814cd5972b69bca388af8,
TN_AD_Magnet,8fbb321fe74c2417b8872cf3af729a7d,
ICN_ImpactHauler,7767e4883f9cf438d8680ef952385464,
ICN_ImpactHauler_Outline,afa80957540d04cf6aea2f3a252e5664,
ICN_DrillCrusher,ace61a3e57c0c4e20836e17dfe997bca,
ICN_RollerCrusher,158f53ab89ea249a5b4468a847225e69,
ICN_HydraulicBreaker,08482221f101f4a82a9f8b7b5856387e,
ICN_DumpTruck,e27ced9b1fee44384a6cf871c8209f3c,
ICN_WheelLoader,7494e56ab590e4f7bb1b8644ac9cb84e,
ICN_HaulTruck,a253ea57fac1f416084c804d54236903,
Img_DynamiteKit,d91f6c39e6bf6447b9ffe47d0b3bcaa8,
ICN_NoAds,8a28807eea2824271ac3dffbf43d33ee,
