ABGroupId,ConditionGroupId,CostItemType,DisplayGroupId,DisplayOrder,DisplayType,EffectGroupId,GameModeType,GroupId,GroupOrder,HasBonus,IsActivate,IsPurchasedOnce,IsVersionCheck,LayoutType,Name,Param1,ProductCategoryType,ProductNameType,ProductType,PurchaseCostGroupID,PurchaseGroupType,PurchaseLimitCount,PurchaseLimitType,PurchaseResetType,id,VersionKey,Param2
0,0,-1,8,1,5,1000001,1,10001,2,FALSE,TRUE,FALSE,FALSE,1,Gem 1,Currency/Textures/TN_Jem_01,1,1,1,0,1,0,0,0,1001,,
0,0,-1,8,2,5,1000011,1,10002,2,FALSE,TRUE,FALSE,FALSE,1,Gem 2,Currency/Textures/TN_Jem_02,1,2,1,0,1,0,0,0,1002,,
0,0,-1,8,3,5,1000021,1,10003,2,FALSE,TRUE,FALSE,FALSE,1,Gem 3,Currency/Textures/TN_Jem_03,1,3,1,0,1,0,0,0,1003,,
0,0,-1,8,4,5,1000031,1,10004,2,FALSE,TRUE,FALSE,FALSE,1,Gem 4,Currency/Textures/TN_Jem_04,1,4,1,0,1,0,0,0,1004,,
0,0,-1,8,5,5,1000041,1,10005,2,FALSE,TRUE,FALSE,FALSE,1,Gem 5,Currency/Textures/TN_Jem_05,1,5,1,0,1,0,0,0,1005,,
0,0,-1,8,6,5,1000051,1,10006,2,FALSE,TRUE,FALSE,FALSE,1,Gem 6,Currency/Textures/TN_Jem_06,1,6,1,0,1,0,0,0,1006,,
0,0,-1,8,1,5,1001001,1,10001,1,TRUE,TRUE,TRUE,TRUE,1,Double Gem 1,Currency/Textures/TN_Jem_01,1,10,1,0,1,0,0,0,1101,IN_APP_PURCHASE_DOUBLE_GEM_VERSION_KEY,
0,0,-1,8,2,5,1001011,1,10002,1,TRUE,TRUE,TRUE,TRUE,1,Double Gem 2,Currency/Textures/TN_Jem_02,1,11,1,0,1,0,0,0,1102,IN_APP_PURCHASE_DOUBLE_GEM_VERSION_KEY,
0,0,-1,8,3,5,1001021,1,10003,1,TRUE,TRUE,TRUE,TRUE,1,Double Gem 3,Currency/Textures/TN_Jem_03,1,12,1,0,1,0,0,0,1103,IN_APP_PURCHASE_DOUBLE_GEM_VERSION_KEY,
0,0,-1,8,4,5,1001031,1,10004,1,TRUE,TRUE,TRUE,TRUE,1,Double Gem 4,Currency/Textures/TN_Jem_04,1,13,1,0,1,0,0,0,1104,IN_APP_PURCHASE_DOUBLE_GEM_VERSION_KEY,
0,0,-1,8,5,5,1001041,1,10005,1,TRUE,TRUE,TRUE,TRUE,1,Double Gem 5,Currency/Textures/TN_Jem_05,1,14,1,0,1,0,0,0,1105,IN_APP_PURCHASE_DOUBLE_GEM_VERSION_KEY,
0,0,-1,8,6,5,1001051,1,10006,1,TRUE,TRUE,TRUE,TRUE,1,Double Gem 6,Currency/Textures/TN_Jem_06,1,15,1,0,1,0,0,0,1106,IN_APP_PURCHASE_DOUBLE_GEM_VERSION_KEY,
0,0,-1,8,1,8,1007001,1,10007,1,FALSE,TRUE,FALSE,FALSE,2,Daily Gem 1,Currency/Textures/Icn_Gem,0,0,3,0,1,1,1,0,1201,,
0,0,-1,3,1,3,1002001,1,20001,1,FALSE,TRUE,FALSE,FALSE,1,SkipIts 1,Currency/Textures/TN_AdTicket_01,1,7,1,0,1,0,0,0,2001,,
0,0,-1,3,2,3,1002011,1,20002,1,FALSE,TRUE,FALSE,FALSE,1,SkipIts 2,Currency/Textures/TN_AdTicket_02,1,8,1,0,1,0,0,0,2002,,
0,0,-1,3,3,3,1002021,1,20003,1,FALSE,TRUE,FALSE,FALSE,1,SkipIts 3,Currency/Textures/TN_AdTicket_03,1,9,1,0,1,0,0,0,2003,,
0,0,-1,1,2,1,1003001,1,30001,2,FALSE,TRUE,TRUE,FALSE,0,StarterPack,CONTENT_OFFER_FOUNDERSPACK_DESC,2,16,1,0,2,0,0,0,3001,,
0,0,-1,1,3,2,1003011,1,30001,1,FALSE,TRUE,TRUE,FALSE,0,No Ads,,2,17,1,0,2,0,0,0,3002,,
